Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-1,6463447155779E-05","1,6463450416726E-05","0,0131041887633114",0,0,0,"0,510468252967356","0,000327229519618305","-1,94086887549467E-15","9,03857430929228E-15","0,000325752366715179","-5,22136326423905E-14","0,000636560846237454",0,0,0,0,0,0,package://brace_top_setup_brace/meshes/base_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://brace_top_setup_brace/meshes/base_link.STL,,Base_link-2,base_link_CS,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,"1,13952900471226E-05","6,09147599450743E-06","-0,00775008002511457",0,0,0,"0,144521976607445","2,31497032446632E-05","3,32565207824189E-08","-2,70019071299361E-09","2,31765300111381E-05","-1,83348553502024E-08","3,99089353738951E-05",0,0,0,0,0,0,package://brace_top_setup_brace/meshes/Link1.STL,"0,776470588235294","0,756862745098039","0,737254901960784",1,0,0,0,0,0,0,package://brace_top_setup_brace/meshes/Link1.STL,,Link1-1,link1_CS,Axis_Joint1,Joint1,fixed,0,0,"0,0256500000001189","-3,14159265358979",0,0,base_link,0,0,0,,,,,,,,,,,,
Link2,"-0,00100278270185594","-0,00901790510279787","0,1436272584445",0,0,0,"2,67816098290905","0,0138092304033988","3,44846789110923E-05","2,40729105294887E-06","0,0157220659311851","0,000760474658445557","0,00952926904083922",0,0,0,0,0,0,package://brace_top_setup_brace/meshes/Link2.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://brace_top_setup_brace/meshes/Link2.STL,,Link2-1;brace_top_part-3,link2_cs,Axis_Joint2,Joint2,fixed,0,0,"-0,377747999999882",0,0,0,Link1,0,0,0,,,,,,,,,,,,
